channel_id,subscribers,avg_views_sub,avg_30days_view,week_upload
UC-FiAOTx56iWX4kMh3CJoHg,4010,0.35980881130507064,364,0.880952
UC-FoIMX4N_yFZTI3RtkINFw,21300,1.24781220657277,17978.1,1.1811
UC-G-e3hGQ0u9ZHlHO8wTBqw,6560,0.5958042973286876,8790.08,0.633714
UC-GDTIsh_jNVM41AIf4C_yw,5240,1.1493353514082654,6100.87,0.6
UC-GevKXBpS1KkPRUjorBVxA,56300,0.37122352780434487,21014.7,1.11659
UC-GmBxdeL-vxnO1qc0en2bg,61800,1.201,78242.6,0.622137
UC-Gy6L3H9evjm5vXoAhveJQ,9300,0.22903596588802372,273,0.66383
UC-H0jzDm89xI_8fQ-Tv2VTw,24000,0.5993595679012346,1153.14,0.862963
UC-HHSb1-Te2OG_A13s1r-tA,40800,0.6049885620915032,27212.7,0.445607
UC-HHoW0B5e6YWiM9ucRS6FQ,4250,3.0269568627450982,3451.67,0.420428
UC-HV-zzqMWY2TFKKatm8ccA,14700,0.6802564102564103,2158,0.0847458
UC-Hs80opFs-u5bvzJrs-zRg,32900,0.7752510219054607,8466.14,0.691589
UC-HzqHCbNBugWjd0sp8pvwA,8340,0.6213928856914469,3392.55,1.15068
UC-IBt8pM8hWx8wiwjcDLdIQ,181000,0.3617530386740332,54806.1,4.83213
UC-ITFcphfivylFie-HOpuLA,4920,0.41545416316232125,1785.09,1.18519
UC-ITrxyiNBQNN_htN6o3_EQ,9450,0.9165925925925925,1259,1.19018
UC-IfewS80QpiZ1FApsmzvQw,87400,2.184611407746419,96361.1,0.528926
UC-IoNQHHy-Gcdalcl-sBvxw,102000,1.0756356209150326,24088.8,0.84507
UC-IyfnjM_DkWIDgA4ekS0_g,5680,0.38272616468039,1674.53,0.703125
UC-IziJrqW_Ruu3VR6WZmxDg,26300,2.624286088894716,17294,0.210345
UC-J-VSA6OOCxWQ4aEzNkGzQ,172000,0.29526363271852446,7478.35,1.06618
UC-JL9Zc0FpW_S2O3pTHc1UQ,11100,1.6425007766387076,1212.67,0.210084
UC-JOTKvMBXnAtII0klUmnCA,6420,1.453305642090689,1737,0.403846
UC-JRFPCqmisxcLh6WT1bOjw,14700,11.590095856524428,1792,0.362963
UC-JYcVkGdBFjjlCagCHY2Zw,37500,1.4195466666666667,84574.9,0.293333
